ЖК рус,Район Город,Застройщик ЖК,Площадь,Тип Комнатности,Этаж,Срок сдачи,Отделка,SalePrice,Labels
Авиатика,Хорошевский,Э.К. Девелопмент,58.6,2,22,4 кв 2022,Есть,23019252,0
Авиатика,Хорошевский,Э.К. Девелопмент,90.7,3,11,4 кв 2022,Есть,33422950,1
Авиатика,Хорошевский,Э.К. Девелопмент,105.5,4,19,4 кв 2022,Есть,34593450,2
Авиатика,Хорошевский,Э.К. Девелопмент,22.2,ст,16,4 кв 2022,Есть,11313120,3
Авиатика,Хорошевский,Э.К. Девелопмент,88.8,3,15,4 кв 2022,Есть,32820480,1
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,19,4 кв 2022,Есть,16737270,4
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,6,4 кв 2022,Есть,11364080,3
Авиатика,Хорошевский,Э.К. Девелопмент,96.2,3,22,4 кв 2022,Есть,37777740,1
Авиатика,Хорошевский,Э.К. Девелопмент,39.1,1,16,4 кв 2022,Есть,16259735,4
Авиатика,Хорошевский,Э.К. Девелопмент,39.1,1,9,4 кв 2022,Есть,16259735,4
Авиатика,Хорошевский,Э.К. Девелопмент,43.9,1,22,4 кв 2022,Есть,19711100,4
Авиатика,Хорошевский,Э.К. Девелопмент,44.7,1,13,4 кв 2022,Есть,18588495,4
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,18,4 кв 2022,Есть,16737270,4
Авиатика,Хорошевский,Э.К. Девелопмент,57.9,2,18,4 кв 2022,Есть,23397390,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.2,ст,18,4 кв 2022,Есть,11313120,3
Авиатика,Хорошевский,Э.К. Девелопмент,105.5,4,5,4 кв 2022,Есть,33939350,2
Авиатика,Хорошевский,Э.К. Девелопмент,43.2,1,21,4 кв 2022,Есть,17241120,4
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,20,4 кв 2022,Есть,11364080,3
Авиатика,Хорошевский,Э.К. Девелопмент,63.8,2,5,4 кв 2022,Есть,24917399,0
Авиатика,Хорошевский,Э.К. Девелопмент,46.0,1,17,4 кв 2022,Есть,19264800,4
Авиатика,Хорошевский,Э.К. Девелопмент,62.1,2,20,4 кв 2022,Есть,24579180,0
Авиатика,Хорошевский,Э.К. Девелопмент,39.1,1,14,4 кв 2022,Есть,16259735,4
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,10,4 кв 2022,Есть,11022890,3
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,14,4 кв 2022,Есть,11364080,3
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,16,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,43.2,1,10,4 кв 2022,Есть,17241120,4
Авиатика,Хорошевский,Э.К. Девелопмент,67.2,2,18,4 кв 2022,Есть,26701280,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,18,4 кв 2022,Есть,22329420,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.2,2,11,4 кв 2022,Есть,22945580,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,12,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,57.9,2,22,4 кв 2022,Есть,22579958,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.2,ст,22,4 кв 2022,Есть,9242970,3
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,2,4 кв 2022,Есть,23784160,0
Авиатика,Хорошевский,Э.К. Девелопмент,58.6,2,24,4 кв 2022,Есть,22589362,0
Авиатика,Хорошевский,Э.К. Девелопмент,85.1,3,2,4 кв 2022,Есть,24849200,1
Авиатика,Хорошевский,Э.К. Девелопмент,61.6,2,22,4 кв 2022,Есть,24178000,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,20,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,21,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,8,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,62.7,2,16,4 кв 2022,Есть,24333870,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,12,4 кв 2022,Есть,8898815,3
Авиатика,Хорошевский,Э.К. Девелопмент,41.6,1,14,4 кв 2022,Есть,16602560,4
Авиатика,Хорошевский,Э.К. Девелопмент,38.5,1,10,4 кв 2022,Есть,15365350,4
